"","PC1","PC2"
"TCGA.HC.A6AP.01A.11R.A30B.07",-1067.19979704353,63.523025110422
"TCGA.VN.A943.01A.11R.A41O.07",220.127892008378,-196.77949783851
"TCGA.J4.A67R.01A.21R.A30B.07",-1163.55136807852,150.319233257064
"TCGA.KK.A8IL.01A.11R.A36G.07",176.637974311512,-49.7874197112819
"TCGA.V1.A8WW.01A.11R.A37L.07",724.570297824219,-213.211608459239
"TCGA.HC.7745.01A.11R.2118.07",252.633602516213,105.831473880459
"TCGA.HC.A48F.01A.11R.A250.07",566.965898679363,-71.4050509685574
"TCGA.ZG.A9L9.01A.11R.A41O.07",136.391592347021,22.1484327510358
"TCGA.HC.7230.01A.11R.2118.07",619.588560098336,-142.105383591079
"TCGA.XJ.A9DQ.01A.11R.A37L.07",-91.4140631129697,283.956973327144
"TCGA.CH.5754.01A.11R.1580.07",868.910796411646,-164.264552084524
"TCGA.XA.A8JR.01A.11R.A36G.07",156.442064747502,119.234454596944
"TCGA.V1.A8MF.01A.11R.A36G.07",-2020.20048248964,-102.22186631121
"TCGA.H9.A6BY.01A.11R.A30B.07",-2007.93941623617,-226.772551324592
"TCGA.X4.A8KS.01A.12R.A36G.07",-1271.65311039442,372.410416529839
"TCGA.M7.A724.01A.12R.A32O.07",-530.783631082121,-265.357179930828
"TCGA.HC.7738.01A.11R.2118.07",530.352916254166,-40.1975806499291
"TCGA.EJ.7327.01A.11R.2118.07",1041.43762123162,-39.6609829560501
"TCGA.V1.A9ZR.01A.11R.A41O.07",-307.523944746809,148.156460937757
"TCGA.KK.A7B4.01A.11R.A32O.07",313.877576329154,-220.334743497669
"TCGA.J9.A8CK.01A.11R.A352.07",-83.7969354255952,161.022917850539
"TCGA.V1.A8MM.01A.11R.A37L.07",-2681.02459134664,-136.558367957567
"TCGA.HC.A631.01A.11R.A29R.07",355.419213108451,-145.570856357448
"TCGA.V1.A8WV.01A.11R.A37L.07",-1253.0495271477,-70.4936026419971
"TCGA.FC.A66V.01A.21R.A30B.07",-1084.92227570021,77.5116767930665
"TCGA.VP.A878.01A.31R.A352.07",187.774709864551,19.6462108006595
"TCGA.KK.A6E1.01A.11R.A311.07",1114.48853498003,-201.142909392365
"TCGA.HC.A6AO.01A.11R.A30B.07",-3284.85462190965,-395.486978310053
"TCGA.H9.A6BX.01A.31R.A311.07",409.991782545849,520.948696057392
"TCGA.KK.A8IJ.01A.11R.A352.07",704.698337128272,-43.0770843273169
"TCGA.HC.7213.01A.11R.2118.07",655.851731473607,-197.10816915932
"TCGA.XK.AAIW.01A.11R.A41O.07",-124.068615985109,-270.004155169072
"TCGA.EJ.5514.01A.01R.1580.07",871.45191685084,-110.225966696435
"TCGA.KK.A7AW.01A.11R.A32O.07",-4346.24515222415,-323.505254612402
"TCGA.ZG.A9L4.01A.11R.A41O.07",370.967107817933,-13.8160250748299
"TCGA.EJ.5531.01A.01R.1580.07",814.431998249212,-31.9727264529576
"TCGA.VN.A88P.01A.11R.A352.07",-113.657651317647,200.875164183781
"TCGA.ZG.A9LS.01A.12R.A41O.07",-0.716372454546057,96.6118510542506
"TCGA.J4.A67T.01A.11R.A311.07",372.560828758644,-1.55537813067909
"TCGA.KK.A6E0.01A.11R.A311.07",665.093212978551,-167.896714888301
"TCGA.EJ.A46F.01A.31R.A250.07",-2108.29340636473,-373.228049167298
"TCGA.CH.5790.01A.11R.1580.07",764.259030706478,-153.870971649154
"TCGA.EJ.A6RA.01A.11R.A33R.07",-336.371087251847,11.3403380708768
"TCGA.EJ.7331.01A.11R.2118.07",1036.27565765602,32.8953417814533
"TCGA.YL.A8SQ.01B.11R.A37L.07",-52.2040433608861,-46.7330516577339
"TCGA.XK.AAJT.01A.11R.A41O.07",-728.381522359583,208.980775129485
"TCGA.G9.6354.01A.11R.A311.07",-629.036302111821,-74.5602374805993
"TCGA.EJ.5515.01A.01R.1580.07",846.984709222587,49.4418812368279
"TCGA.EJ.5521.01A.01R.1580.07",117.304155501918,-83.3791403941607
"TCGA.VN.A88L.01A.11R.A352.07",108.727377736826,158.69869297592
"TCGA.J4.AATZ.01A.11R.A41O.07",881.858739502881,-104.369243064083
"TCGA.2A.A8W1.01A.11R.A37L.07",59.8596255964422,-333.84072702397
"TCGA.HC.8266.01A.11R.2263.07",18.6553378337914,-39.8816431146191
"TCGA.YL.A9WX.01A.21R.A41O.07",788.630268910169,30.084246784292
"TCGA.YL.A8S9.01A.11R.A37L.07",-2169.47180082128,-304.401713689507
"TCGA.KK.A59X.01A.11R.A29R.07",178.240079429865,-187.792040127059
"TCGA.EJ.7791.01A.11R.2118.07",913.729369706066,121.071240971083
"TCGA.VN.A88O.01A.11R.A352.07",191.168793142456,9.04824641145199
"TCGA.EJ.5512.01A.01R.1580.07",34.3548873463048,-14.6924433364641
"TCGA.KK.A8I5.01A.11R.A36G.07",692.525354696395,-68.9338425351327
"TCGA.2A.A8VT.01A.11R.A37L.07",1090.0286582905,-52.6175212002012
"TCGA.V1.A8X3.01A.11R.A37L.07",730.793963919966,-31.5776905000698
"TCGA.HC.7211.01A.11R.2118.07",1118.73768366735,-62.0807901195266
"TCGA.2A.AAYF.01A.11R.A41O.07",279.58229509731,-76.0987172478495
"TCGA.EJ.5510.01A.01R.1580.07",727.707435637689,-59.0213182470296
"TCGA.KK.A6E8.01A.11R.A31N.07",-4196.4948657325,-325.329019278759
"TCGA.HC.7820.01A.11R.2118.07",569.213332085021,-61.5923448948436
"TCGA.QU.A6IP.01A.11R.A31N.07",-138.45334381808,-35.7704325622522
"TCGA.J4.AATV.01A.11R.A41O.07",361.33559250256,247.62438316774
"TCGA.G9.6377.01A.11R.1965.07",-276.111355062325,-118.415522848416
"TCGA.J4.A67O.01A.11R.A30B.07",-3340.74817782977,450.946619707276
"TCGA.M7.A71Z.01A.12R.A32O.07",-707.100888149546,-293.772710599455
"TCGA.EJ.8469.01A.11R.2403.07",211.698292089832,-172.230591527805
"TCGA.KK.A8IF.01A.11R.A36G.07",-3702.04663421845,-224.325241192969
"TCGA.ZG.A9ND.01A.11R.A41O.07",-111.847140095569,-151.458183308642
"TCGA.YL.A8SC.01A.11R.A37L.07",918.505460225048,-155.751267746726
"TCGA.V1.A8MK.01A.11R.A36G.07",401.56113619558,143.505328093349
"TCGA.HC.7079.01A.11R.1965.07",714.501218437235,-59.4641981244876
"TCGA.CH.5744.01A.11R.1580.07",1142.67056046497,-93.5429926700793
"TCGA.HI.7168.01A.11R.2118.07",-345.3848856044,446.060039319317
"TCGA.HC.7740.01A.11R.2118.07",589.695991316355,133.047694926705
"TCGA.EJ.A46E.01A.31R.A250.07",383.3221703578,189.267694353483
"TCGA.CH.5751.01A.11R.1580.07",436.857298879946,-105.820932997079
"TCGA.J9.A8CN.01A.11R.A352.07",-1836.87187360341,-127.725672860927
"TCGA.CH.5769.01A.11R.1580.07",527.20295016869,-158.812276716427
"TCGA.YL.A8SB.01A.31R.A37L.07",216.417510579097,82.6404002943741
"TCGA.HC.A6AS.01A.11R.A30B.07",-638.867645362492,49.2629485783371
"TCGA.EJ.7786.01A.11R.2118.07",715.38507871555,85.0386720469586
"TCGA.EJ.7793.01A.31R.2263.07",349.95817271342,38.9101863047879
"TCGA.HC.8260.01A.11R.2263.07",559.179951008872,-57.0563255955172
"TCGA.EJ.7781.01A.11R.2118.07",966.647632248136,-37.3592632846888
"TCGA.KK.A7AU.01A.11R.A32O.07",29.4238852476831,-175.809532292364
"TCGA.EJ.5499.01A.01R.1580.07",421.291985616544,-189.566556295156
"TCGA.J4.AAU2.01A.11R.A41O.07",31.5190454370063,-10.5537654032854
"TCGA.G9.6364.01A.21R.1789.07",712.889469625582,294.280764274342
"TCGA.XK.AAK1.01A.11R.A41O.07",-268.201207917678,-199.321328221578
"TCGA.CH.5741.01A.11R.1580.07",653.430393452198,-151.118311094508
"TCGA.SU.A7E7.01A.22R.A33R.07",774.010828430197,-76.6748577188877
"TCGA.CH.5737.01A.11R.1580.07",741.461449718495,-104.076254035518
"TCGA.EJ.7788.01A.11R.2118.07",893.225638391313,-50.5925459241303
"TCGA.ZG.A9M4.01A.11R.A41O.07",674.659313488713,-63.0101827032798
"TCGA.V1.A8WS.01A.11R.A37L.07",341.725456932977,-212.682170742327
"TCGA.J4.A83K.01A.11R.A352.07",252.04842448252,120.506146031563
"TCGA.EJ.7785.01A.11R.2118.07",1237.44258895646,26.0848667176284
"TCGA.J9.A8CM.01A.11R.A352.07",-120.995844921512,63.4576662536238
"TCGA.4L.AA1F.01A.11R.A41O.07",685.73278573624,-45.1610184957554
"TCGA.CH.5752.01A.11R.1580.07",977.620244617911,-226.753446370457
"TCGA.ZG.A8QW.01A.11R.A37L.07",290.636168378102,-2.03993151926187
"TCGA.ZG.A9L6.01A.11R.A41O.07",-38.8826370241671,172.757965020813
"TCGA.EJ.5511.01A.01R.1580.07",914.881825129217,-107.261838294795
"TCGA.VP.A87J.01A.11R.A352.07",1020.33243640303,-135.32673002914
"TCGA.XJ.A83G.01A.11R.A352.07",-583.95308267931,-93.577150627363
"TCGA.J4.A67K.01A.21R.A30B.07",-2700.76769375331,-316.348909575634
"TCGA.ZG.A9N3.01A.11R.A41O.07",-619.00965163595,-288.844830606987
"TCGA.J9.A52C.01A.11R.A26U.07",229.804692432842,256.158428438286
"TCGA.TP.A8TT.01A.12R.A41O.07",752.62188366462,-104.178467496999
"TCGA.KK.A59V.01A.11R.A29R.07",-1453.79881657801,-145.968819111728
"TCGA.EJ.5505.01A.01R.1580.07",772.428109703115,-72.0959178905289
"TCGA.EJ.7330.01A.11R.2118.07",1014.84425262902,33.0244650116028
"TCGA.HC.7209.01A.11R.2118.07",940.802683339008,-101.36345890047
"TCGA.KK.A6E2.01A.11R.A311.07",350.797819597096,-169.98452380252
"TCGA.ZG.A8QZ.01A.11R.A37L.07",253.383673076184,-66.7797823705125
"TCGA.EJ.5501.01A.01R.1580.07",903.94717673983,-75.4832342809988
"TCGA.ZG.A9L0.01A.11R.A41O.07",84.2933536138729,-79.1013989131627
"TCGA.KK.A6E7.01A.11R.A31N.07",-613.380320415808,-136.725422003093
"TCGA.EJ.7794.01A.11R.2118.07",839.050322350424,-4.27554283620458
"TCGA.V1.A9Z8.01A.11R.A41O.07",-517.296123250967,38.9904929529048
